,Title,Company,Location,Job Description,When Posted
0,Data Science Junior Instructor (Los Angeles),The Knowledge House,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
1,Research Data Scientist,CEDARS-SINAI,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
2,"Associate, Finance Strategy & Analysis, Content",Netflix,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
3,Artificial Intelligence Analyst,"REGAL MEDICAL GROUP, INC","Northridge, CA 91325","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
4,Chief Data & Artificial Intelligence Officer (CDAIO),UCLA,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
5,Statistician,UCLA,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
6,Data Scientist,Exponent Inc.,"Los Angeles, CA 90066 ","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
7,Data Scientist,Fabletics,"Hybrid remote in El Segundo, CA 90245","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
8,VP of Data Science & BI,Niagara Bottling,"Diamond Bar, CA 91765","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
9,Data Scientist,Hadrian,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
10,Data Scientist (Ability to Obtain DoD),Sparkle G,"Redondo Beach, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
11,Data Engineer (L4) - Content Knowledge Graph,Netflix,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
12,Data Scientist IV,OrangePeople,"Bell, CA 90201","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
13,Applied Scientist I,Capital Group Companies,"Los Angeles, CA","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
14,Statistician - Semel Institute,UCLA Health,"Los Angeles, CA 90095","Familiarity working with JSON data.
Support in providing insight into data related to attendance, incident reports, lab submission rates, and grades, weekly…",Posted 4 days ago
15,Senior Data & NLP Engineer,LegalMation,"Los Angeles, CA 90071 ",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
16,"Marketing Data Scientist, Reality Labs",Oculus,"Los Angeles, CA 90230",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
17,Analytics Engineer (L5) - Content DSE,Netflix,"Los Angeles, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
18,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
19,"Manager, Content Data Engineering",Netflix,"Los Angeles, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
20,Vaccine Specialist Representative,Inizio Engage,3.5,Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
21,"Application Software Engineer, Data",SpaceX,"Hawthorne, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
22,"Sr. Data Analyst, Payment Risk & Fraud",SpaceX,"Hawthorne, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
23,Application Engineer,MathWorks,"Hybrid remote in Torrance, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
24,Machine Learning Engineer,Apple,"Culver City, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
25,ML Ops Data Engineer 2 - Hybrid - Seattle,Nordstrom Inc,"Los Angeles, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
26,Staff Data Scientist,GOBankingRates,"Remote in Los Angeles, CA",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
27,Statistical Research Programmer,RAND Corporation,"Los Angeles, CA 90071 ",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
28,Staff Analytics Engineer,Warner Bros. Discovery,"Culver City, CA 90232",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
29,Data Analytics & Insights Senior Specialist,Southern California Edison,"Irwindale, CA 91010",Work collaboratively with machine learning scientists and domain experts to understand data needs and implement effective data strategies.,Active 3 days ago
30,Business Intelligence Analyst,Paramount+,"Los Angeles, CA 90069","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
31,Data Engineer,InStride,"Los Angeles, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
32,Manager of Data Science,Niagara Bottling,"Diamond Bar, CA 91765","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
33,Database Engineer,California Institute of Technology,"Pasadena, CA 91125 ","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
34,"Associate Director, Data Science and Advanced Analytics",Kite Pharma,"Santa Monica, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
35,Assistant Director - Data & Analytics,UCLA,"Los Angeles, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
36,"Director, Decision Science Products",Disney,"Burbank, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
37,Senior Data Analyst,O Positiv,"Santa Monica, CA 90405 ","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
38,Data Scientist or Senior Data Scientist,National Research Group,"Remote in Los Angeles, CA 90094","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
39,"Senior Business Intelligence Analyst $110,000 - $140,000 Annual (On-site)",Commerce Casino,"Commerce, CA 90040","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
40,Audience Analytics Manager,Apple,"Culver City, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
41,Senior Staff Analyst - DHS Community Programs,Heluna Health,"Los Angeles, CA 90014","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
42,Sr. Business Data Analyst,Live Nation,"Beverly Hills, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
43,"Manager, FS&A, Ads Revenue & Yield Analytics, UCAN",Netflix,"Los Angeles, CA","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
44,Machine Learning Algorithm Engineer,Transit Pro Tech Inc,"West Covina, CA 91791","Improve and strengthen data pipelines for media mix modeling with data engineering teams.
Proficient in SQL with a thorough understanding of data and systems'…",Posted 1 day ago
45,Machine Learning and AI Scientist II,Fulgent Therapeutics Llc,"El Monte, CA 91731","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
46,Master of Applied Statistics and Data Science Adjunct Professor - Spring 2024,UCLA,"Los Angeles, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
47,"Vice President, Analytics",Lionsgate,"Santa Monica, CA 90404","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
48,"Executive Director, Analytics - CW Network - Burbank, CA",Nexstar Broadcasting,"Burbank, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
49,Applied Scientist,"Amazon Development Center U.S., Inc. - B02","Pasadena, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
50,AI Strategy Lead,Proper Hospitality,"Los Angeles, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
51,Data Engineer III,"Intelliswift Software, Inc.","Culver City, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
52,Data Analytics Manager,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
53,Data Engineer - R&D Informatics,Terray Therapeutics,"Monrovia, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
54,Decision Scientist - Metaverse,Meta,"Los Angeles, CA 90066 ","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
55,Lead Data Scientist,ADP,"Pasadena, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
56,Business & Forecasting Analyst,Coursera,"Remote in Los Angeles, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
57,"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,"Carson, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
58,Senior Statistician (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
59,Games Data Lead,Blitz App,"Los Angeles, CA","Investigate available annotation and reference data sources.
Validate and deploy/update selected data sources.
Director of Machine Learning and AI.",Posted 2 days ago
60,Manager of Business Intelligence,Niagara Bottling,3.0,"Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
61,ArcGIS Specialist,"Jada Systems, Inc.","Los Angeles, CA 90017 ","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
62,Analytics Manager,Alo Yoga,"Beverly Hills, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
63,"Manager, Machine Learning Engineering, Generative ML Platform",Snapchat,"Los Angeles, CA 90291 ","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
64,Business Intelligence Engineer III,Prolacta Bioscience,"Duarte, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
65,Senior Machine Learning Engineer,Freeform,"Los Angeles, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
66,"Measurement Lead, Audience Insights",Netflix,"Los Angeles, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
67,Programmer/Analyst - Artificial Intelligence in Medicine (AIM),CEDARS-SINAI,"Los Angeles, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
68,Sr. BI Analyst - CRM & Retention,GoodRx,"Santa Monica, CA 90401 ","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
69,"Product Manager, Camera & Generative AI",Snapchat,"Los Angeles, CA 90291 ","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
70,Marketing Science Partner - Amazon,Meta,"Los Angeles, CA 90066 ","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
71,Postdoc: Remote Sensing Data Analytics for Mapping and Monitoring Global Forest Carbon,JPL/NASA,"Pasadena, CA 91109","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
72,Senior Statistical Programmer,"Pharmaceutical Research Associates, Inc","Santa Monica, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
73,"Data Scientist, Ecommerce - USDS",TikTok,"Hybrid remote in Los Angeles, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
74,Senior Process Engineer (Advanced R&D),Freeform,"Los Angeles, CA","Makes data driven decisions and develops sustainable solutions.
Employ data mining, data warehousing, segmentation, and other analytical techniques to capture…",Active Today
